ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,text_7.started,text_7.stopped,response.rt,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,149.62768522684473,,,,,,,,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,0,0,35,,,,,,,0.7106647669830131,611.09818532181,None,611.09818532181,None,j,1,2.764483208328784,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,270,0,0,168,0,0,168,180,0,f,present,resp,pract,0,1,1,45,,,,,,,0.9126259251103793,615.0750646935085,None,615.0750646935085,None,f,1,1.683673447540059,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
90,0,0,12,0,180,180,180,0,12,j,present,resp,pract,0,2,2,36,,,,,,,0.8054984959794221,617.8518745798656,None,617.8518745798656,None,None,0,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,3,3,26,,,,,,,0.7506623321991837,622.1117090043281,None,622.1117090043281,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,pract,0,4,4,25,,,,,,,1.0977334661504448,626.4655544987527,None,626.4655544987527,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,pract,0,5,5,28,,,,,,,0.8532028535223628,630.3369266289737,None,630.3369266289737,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,6,6,44,,,,,,,0.8836317896068554,634.2215420251987,None,634.2215420251987,None,f,1,1.9124628360241331,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
168,0,270,180,180,180,180,168,180,180,f,present,resp,pract,0,7,7,49,,,,,,,0.9273731459147281,637.1283631493461,None,637.1283631493461,None,f,1,1.5326976795722658,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,0,168,180,180,180,0,0,168,f,abs,resp,pract,0,8,8,18,,,,,,,1.0201748575647185,639.8226098416235,None,639.8226098416235,None,f,1,1.0306986931764186,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,12,180,12,180,90,180,180,0,180,j,present,resp,pract,0,9,9,37,,,,,,,1.0455760915496266,642.1057725656055,None,642.1057725656055,None,j,1,1.5314380691179394,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,pract,0,10,10,6,,,,,,,0.7195239881098789,644.6710859182313,None,644.6710859182313,None,j,1,1.2540291659988725,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,pract,0,11,11,9,,,,,,,0.8774244816296803,647.1890991325199,None,647.1890991325199,None,j,1,0.7520129742852077,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,pract,0,12,12,16,,,,,,,0.7476831953941323,649.2374533230259,None,649.2374533230259,None,f,1,0.8317028801056949,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,pract,0,13,13,13,,,,,,,0.7906431532983412,651.28415399183,None,651.28415399183,None,f,1,1.3770342168163552,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,pract,0,14,14,27,,,,,,,0.9984740680701147,653.9078570654547,None,653.9078570654547,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
12,0,0,12,0,0,90,180,180,0,j,present,resp,pract,0,15,15,38,,,,,,,0.9850463920979304,657.8975978658154,None,657.8975978658154,None,j,1,1.130990911934532,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,pract,0,16,16,30,,,,,,,0.8893008368501605,660.3219555867327,None,660.3219555867327,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,180,90,180,12,180,12,0,0,180,j,present,resp,pract,0,17,17,39,,,,,,,0.7275498162152892,664.3484071044077,None,664.3484071044077,None,j,1,0.9999980654238243,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,pract,0,18,18,8,,,,,,,0.71612603611076,666.5715401688349,None,666.5715401688349,None,j,1,0.7609298572006082,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
90,0,180,168,180,180,0,168,0,0,f,present,resp,pract,0,19,19,46,,,,,,,0.8558402784636855,668.571631628688,None,668.571631628688,None,j,0,0.8728229886264671,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,pract,0,20,20,29,,,,,,,1.0338093055288955,671.23108554394,None,671.23108554394,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,pract,0,21,21,4,,,,,,,1.0901261814729604,675.3265608770962,None,675.3265608770962,None,j,1,0.9169914570711626,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,pract,0,22,22,5,,,,,,,1.079090376958329,677.7861698816969,None,677.7861698816969,None,j,1,2.2174980480667728,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,23,23,31,,,,,,,1.0436089540085505,681.4334638623404,None,681.4334638623404,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,pract,0,24,24,0,,,,,,,0.9924132833734658,685.4694103012771,None,685.4694103012771,None,j,1,0.6932966540744019,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,25,25,1,,,,,,,1.000716290500814,687.4224047662956,None,687.4224047662956,None,j,1,0.6442771912361422,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,pract,0,26,26,11,,,,,,,0.9076852069100037,689.2698768974524,None,689.2698768974524,None,f,1,1.133421691465628,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,27,27,32,,,,,,,1.0594544043516492,691.5063679300092,None,691.5063679300092,None,j,1,1.2005408479581092,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,pract,0,28,28,2,,,,,,,0.9308238184685067,694.2940956476878,None,694.2940956476878,None,j,1,1.036740778593412,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,pract,0,29,29,17,,,,,,,0.7545650900470111,696.4710861597086,None,696.4710861597086,None,f,1,1.6117884177065207,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,pract,0,30,30,3,,,,,,,0.9463928875618439,699.2484173370449,None,699.2484173370449,None,j,1,0.6584827477090585,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,pract,0,31,31,24,,,,,,,0.775664700241633,730.2256435317504,None,730.2256435317504,None,None,1,,,,,,,,,,,,,003,001,2,23,f,2021_Nov_08_1002,eye_tracking_exp,2021.2.3,84.93535493890802,
