ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,respon,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,fixdur,int14_2.started,int14_2.stopped,per15_2.started,per15_2.stopped,response_pract.keys,response_pract.corr,response_pract.rt,key_resp_2.keys,key_resp_2.rt,int14.started,int14.stopped,per15.started,per15.stopped,response.keys,response.corr,response.rt,text_7.started,text_7.stopped,participant,session,1=top 2=bottom,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,2.6550095531529223,,,,,,,,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,270,180,12,180,180,180,180,12,180,j,present,resp,pract,0,0,0,35,,,,,,,0.712538970331476,354.26992865611646,None,354.26992865611646,None,j,1,1.3240652156291617,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,pract,0,1,1,21,,,,,,,0.9580845629171,356.84697950599,None,356.84697950599,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,0,180,0,168,180,0,180,12,180,None,abs,inhibit,pract,0,2,2,30,,,,,,,0.7158916668487241,360.57734001656536,None,360.57734001656536,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,0,180,0,168,0,0,0,180,168,f,abs,resp,pract,0,3,3,17,,,,,,,0.763944201723062,364.5665581436333,None,364.5665581436333,None,f,1,1.2837388375901355,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,pract,0,4,4,24,,,,,,,0.8264331106603401,366.9551891234678,None,366.9551891234678,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,0,168,0,0,0,0,0,168,0,f,abs,resp,pract,0,5,5,11,,,,,,,0.979444974337826,371.22688688813105,None,371.22688688813105,None,f,1,2.0779372723482084,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
90,0,0,12,0,0,0,12,0,0,j,present,resp,pract,0,6,6,34,,,,,,,0.8719987183287997,374.5329900560464,None,374.5329900560464,None,j,1,1.1717929932601692,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,pract,0,7,7,20,,,,,,,1.0282698802186885,377.2037888684699,None,377.2037888684699,None,f,1,1.6690274971842882,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
90,0,0,12,0,180,180,180,0,12,j,present,resp,pract,0,8,8,36,,,,,,,0.8190892022920708,379.99327461056055,None,379.99327461056055,None,j,1,1.295581692696942,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,270,0,0,12,0,180,180,180,12,j,present,resp,pract,0,9,9,42,,,,,,,0.8694109760119471,382.5467097780602,None,382.5467097780602,None,j,1,1.0291320922187879,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,0,0,-168,180,180,180,180,0,12,None,abs,inhibit,pract,0,10,10,25,,,,,,,0.8111292928390255,384.5823246708078,None,384.5823246708078,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,pract,0,11,11,9,,,,,,,0.9132393796862525,388.7245457849276,None,388.7245457849276,None,j,1,1.1233403670939879,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,180,180,180,12,0,180,12,0,0,j,abs,resp,pract,0,12,12,8,,,,,,,0.9829047548776206,391.09086535094684,None,391.09086535094684,None,j,1,1.2050320707276114,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
90,0,180,180,180,168,0,168,0,0,f,present,resp,pract,0,13,13,44,,,,,,,0.8957388576670557,393.5838876198013,None,393.5838876198013,None,f,1,1.544056172378987,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,pract,0,14,14,6,,,,,,,0.9575486753340551,396.4320814447947,None,396.4320814447947,None,j,1,0.9677765343021747,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,pract,0,15,15,28,,,,,,,0.9238066107305396,398.59699278713197,None,398.59699278713197,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
90,0,0,12,0,12,180,180,180,0,j,present,resp,pract,0,16,16,32,,,,,,,0.8733387370655793,402.72758988315036,None,402.72758988315036,None,j,1,0.9113051165277284,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,0,90,180,12,0,180,180,12,180,j,present,resp,pract,0,17,17,41,,,,,,,0.9722271777154862,404.9867300257647,None,404.9867300257647,None,j,1,1.0041943324813474,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,180,168,0,270,0,0,168,0,180,f,present,resp,pract,0,18,18,47,,,,,,,0.9654662662891393,407.22232723044726,None,407.22232723044726,None,f,1,1.2966139996806305,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,270,0,0,0,0,0,168,0,168,f,present,resp,pract,0,19,19,43,,,,,,,0.7930932134142619,409.5756611594188,None,409.5756611594188,None,f,1,1.1352873584328336,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,180,0,168,180,180,180,180,168,180,f,abs,resp,pract,0,20,20,10,,,,,,,0.7442374878311522,411.71702775275844,None,411.71702775275844,None,f,1,0.8489522655490873,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,pract,0,21,21,31,,,,,,,0.9911639592795463,413.6939611248872,None,413.6939611248872,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,180,90,180,12,180,12,0,0,180,j,present,resp,pract,0,22,22,39,,,,,,,0.7133058431242152,417.41239245293036,None,417.41239245293036,None,j,1,0.8175619834819372,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
12,0,0,12,0,0,90,180,180,0,j,present,resp,pract,0,23,23,38,,,,,,,0.7397385669294255,419.1669626751591,None,419.1669626751591,None,j,1,1.7989620453008683,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,180,0,12,0,12,0,180,180,180,j,abs,resp,pract,0,24,24,0,,,,,,,0.9368503253106062,422.22663364089203,None,422.22663364089203,None,j,1,0.8672920140761562,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,12,180,-168,180,180,0,180,180,180,None,abs,inhibit,pract,0,25,25,26,,,,,,,0.790849287722306,424.26110273325867,None,424.26110273325867,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,0,180,12,180,180,12,180,180,180,j,abs,resp,pract,0,26,26,1,,,,,,,0.7965284888570368,428.4151356125385,None,428.4151356125385,None,j,1,1.0298652716501238,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,pract,0,27,27,16,,,,,,,0.9262452778205283,430.73431647996586,None,430.73431647996586,None,f,1,0.9506764596862922,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,270,0,0,168,0,0,168,180,0,f,present,resp,pract,0,28,28,45,,,,,,,0.7235707962862313,432.7575838341927,None,432.7575838341927,None,f,1,1.0234042976844648,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,pract,0,29,29,22,,,,,,,1.0264698002205082,435.08745632315186,None,435.08745632315186,None,None,1,,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,pract,0,30,30,12,,,,,,,1.0995074397196953,439.1949025767826,None,439.1949025767826,None,f,1,0.9220513718501024,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
0,270,0,0,12,0,0,12,0,0,j,present,resp,pract,0,31,31,40,,,,,,,1.0785628836303798,446.6660456726404,None,446.6660456726404,None,j,1,1.0979842513697804,,,,,,,,,,,,014,001,2,28,f,2021_Nov_10_1340,eye_tracking_exp,2021.2.3,84.97644080491783,
