ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,9.942308679455891e-06,11.93495484908999,space,11.915721594166826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
90,0,180,180,180,168,0,168,0,0,f,present,resp,freq_top,0,0,0,44,,,,,,,,,,58.34698080941962,58.848004546522134,58.86969160881927,59.437723301052756,59.43773645055626,0.7272051178655112,60.16971906242179,60.16973221192529,107.25535633876643,107.25535633876643,62.70954089624502,f,1,2.490384806471411,None,62.710284324377426,62.71032858368926,62.71033756383986,62.71092832942304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,freq_top,0,1,1,15,,,,,,,,,,,,62.711412295364426,62.91826556099841,62.918277748343826,1.0012028520462983,63.924407342172344,63.92441985023834,111.01054975195439,111.01054975195439,65.49113466761264,f,1,1.5188756152856513,None,65.4916519883991,65.49169175763382,65.49170009634327,65.49205256723144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,2,2,19,,,,,,,,,,,,65.49253813677205,65.74031779467987,65.74033062346643,0.8087031573751582,66.55611439171844,66.55612689978443,113.64168784485446,113.64168784485446,68.25592978548957,f,1,1.656473322524107,None,68.25643427748946,68.25647436744475,68.2564827061542,68.25691920558893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,3,3,32,,,,,,,,,,,,68.25740028505606,68.64578567973876,68.64579850852533,0.8354598387950101,69.48705543446704,69.48706794253303,116.5725717995083,116.5725717995083,70.73672445179545,j,1,1.2048516357208428,None,70.73725620496407,70.7372950120407,70.73730335075015,70.7376651225095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
168,0,180,0,0,180,180,0,168,0,f,abs,resp,freq_top,0,4,4,13,,,,,,,,,,,,70.73815935148014,70.95232727002076,70.95233945736982,0.9904738767847472,71.94285866398423,71.94287181349137,119.02884327970605,119.02884327970605,73.35996610634902,f,1,1.372354846127564,None,73.36049689735955,73.36053666659427,73.3605453260243,73.36105206306092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,5,5,9,,,,,,,,,,,,73.36155078210868,73.56750218410161,73.56751501288818,0.75959491703809,74.33259653340428,74.33260872075334,121.41852406102771,121.41852406102771,75.30006209132262,j,1,0.9188700989107019,None,75.30057780850984,75.30061886062322,75.30062752005324,75.30107909331127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,6,6,40,,,,,,,,,,,,75.30157300156498,75.52347314999497,75.52348565806096,1.055480057673042,76.58090954807994,76.58092237686651,123.66664079528346,123.66664079528346,77.71455951722601,j,1,1.0869890910289541,None,77.71506817858244,77.71510698565908,77.71511532436853,77.7155729913029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,freq_top,0,7,7,21,,,,,,,,,,,,77.71603065823365,77.99666098779198,77.99667349585798,0.7964326796999435,78.79597900954104,78.79599151760704,125.88145496390644,125.88145496390644,81.80104637991099,None,1,,,81.80142739484654,81.80146748480183,81.80147646495243,81.80219038687937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,8,8,47,,,,,,,,,,,,81.80266376907093,82.06001177682629,82.06002492632979,1.0907041870004581,83.15030237448082,83.15031488254681,130.23615068435174,130.23615068435174,84.93265272348799,f,1,1.7329017757510883,None,84.93316170556136,84.93320115407914,84.93320981350917,84.93365978316797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2,24,m,2024-02-08_16h06.12.429,eye_track_exp,2023.1.3,120.12405418108136,
