ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,response_2.rt,response_2.duration,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,text_feedback_2.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,9.62146896199556e-06,35.71725196734951,space,35.70177147855338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,0,0,29,,,,,,,,,,899.2020566210622,899.7030288705,899.7246358033462,899.8773849617082,899.8773987524801,0.9079281250145154,900.7833492141026,900.7833620427273,1081.526355288136,1081.526355288136,903.7968221570882,None,1,903.7973378678244,903.7973837301597,903.7973930309136,903.7985710194298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,0,180,0,12,180,180,180,12,180,j,abs,resp,freq_top,0,1,1,9,,,,,,,,,,,,903.7990424714089,904.0481525657087,904.048173412225,0.8938540225743297,904.9462836595067,904.946305147454,1085.6894770314693,1085.6894770314693,907.959947107578,None,0,907.9603608307434,908.4509386865475,908.4509479873004,908.4515178989786,1088.6869382465256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,2,2,3,,,,,,,,,,,,908.4520393825969,908.4530175652744,908.4530278281745,0.834720955474168,909.2929480726116,909.2929605805211,1090.0357886573784,1090.0357886573784,912.2979621408022,None,0,912.2985131302585,912.7972580096321,912.797267631101,912.7984058508791,1093.0165633588167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,180,90,180,12,180,12,0,0,180,j,present,resp,freq_top,0,3,3,39,,,,,,,,,,,,912.7989953262113,915.4634081103213,915.463420938946,0.7010954462289897,916.1698147578581,916.1698269450517,1096.91328426598,1096.91328426598,917.7027254735121,j,1,917.7033720362269,917.7041266801089,917.7041363015778,917.7047139104307,,1.4919926665024832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,4,4,5,,,,,,,,,,,,917.705215830395,917.9358119734052,917.9358248020299,1.067383255708821,919.0093780457964,919.009390553706,1099.7525403083428,1099.7525403083428,919.8428653760857,j,1,919.8433544674244,919.843391349722,919.8433996883286,919.8438656881417,,0.7968957350140045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,270,0,0,12,0,0,12,0,0,j,present,resp,freq_top,0,5,5,40,,,,,,,,,,,,919.8443345743954,920.1091029679983,920.109116117339,1.038962208323362,921.1491260338671,921.1491388624918,1101.8923899632682,1101.8923899632682,922.050051843682,j,1,922.0505659508399,922.0506028331374,922.0506214346442,922.0508966086563,,0.8642639778163357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
90,0,180,168,180,180,0,168,0,0,f,present,resp,freq_top,0,6,6,46,,,,,,,,,,,,922.0513831342705,922.0907577131302,922.0907689381775,0.841847069830682,922.9315009138791,922.9315127803575,1103.6742122502465,1103.6742122502465,923.6985901661528,f,1,923.6991674542905,923.699208826607,923.6992171652137,923.6997126708648,,0.7300300536071518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,180,0,180,168,180,12,180,0,180,None,abs,inhibit,freq_top,0,7,7,28,,,,,,,,,,,,923.7002008000572,924.1554094945295,924.1554226438702,0.7406237014862386,924.8959329088557,924.8959454167652,1105.6392151190485,1105.6392151190485,927.9097349060803,None,1,927.9101374041984,927.9101768522205,927.9101861529743,927.9112528531659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,8,8,27,,,,,,,,,,,,927.9117371337707,928.2026178734177,928.2026303813273,0.8513139957498596,929.0590126384404,929.059025467066,1109.8023464838507,1109.8023464838507,932.0728528008258,None,1,932.0733162349134,932.0733566450835,932.0733659458365,932.0744201381194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,0,0,-168,0,0,0,12,0,0,None,abs,inhibit,freq_top,0,9,9,23,,,,,,,,,,,,932.0749172473488,932.3232906578423,932.3233025243208,0.8830626261705239,933.205276926723,933.2052897553485,1113.948835273075,1113.948835273075,936.2193236299745,None,1,936.2196972636857,936.2197354288464,936.2197447295994,936.2212177764977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,10,10,47,,,,,,,,,,,,936.2217103957082,936.8360501689049,936.8360629975305,0.7064655144195617,937.5438689273697,937.5438920188953,1118.3700910864463,1118.3700910864463,938.86047073999,f,1,938.8611099262453,938.8611535435712,938.861162202893,938.8616612364167,,1.1856223239756218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
12,0,0,12,0,0,180,0,180,180,j,abs,resp,freq_top,0,11,11,6,,,,,,,,,,,,938.8621400648553,939.0673692049486,939.0673817128591,0.9765942346095919,940.0498369642082,940.0498494721178,1120.7930277704463,1120.7930277704463,940.9164234305863,j,1,940.9169343305875,940.9169715336011,940.9169798722078,940.9174336848264,,0.826359559413504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,12,12,37,,,,,,,,,,,,940.9179205311566,941.2156184022779,941.2156315516186,0.858894033208944,942.0815846046235,942.0815974332481,1122.824645200314,1122.824645200314,942.8820193025913,j,1,942.8825407862087,942.8825795927996,942.8825882521223,942.8830516862108,,0.7629489475102673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,180,0,12,0,180,180,180,0,12,j,abs,resp,freq_top,0,13,13,4,,,,,,,,,,,,942.8835507197336,943.1722993418589,943.1723118497694,0.7469259390401355,943.9217925309822,943.9218047181757,1124.6647488940926,1124.6647488940926,945.1713272527786,j,1,945.1718362284864,945.1718740729311,945.1718827322529,945.1722647045708,,1.2110396792459142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,270,0,0,168,0,0,168,180,0,f,present,resp,freq_top,0,14,14,45,,,,,,,,,,,,945.1727377601283,947.6191200396916,947.6191335097483,0.7164416652991352,948.3346491226666,948.3346619512913,1129.0776657803153,1129.0776657803153,949.201639049309,f,1,949.2021592500641,949.2021970945088,949.2022057538306,949.2026640564691,,0.8299945503868003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,168,180,0,180,0,180,0,0,168,f,abs,resp,freq_top,0,15,15,20,,,,,,,,,,,,949.2031435263389,949.4423140017707,949.4423265096802,0.7204990045777547,950.1665469862828,950.1665761714057,1130.909453638471,1130.909453638471,951.6990022857399,f,1,951.6995009985476,951.6995568030679,951.6995654623897,951.7000170299998,,1.4934397354354587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
0,180,0,12,0,180,180,12,0,0,j,abs,resp,freq_top,0,16,16,2,,,,,,,,,,,,951.700488802695,951.9566161550238,951.9566286629333,0.8932984682596454,952.8557555787684,952.855768407393,1133.5988440767187,1133.5988440767187,953.6891053220515,j,1,953.6896306542567,953.6896681779854,953.689676516592,953.6901431578362,,0.788728390729375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
12,0,0,12,0,0,90,180,180,0,j,present,resp,freq_top,0,17,17,38,,,,,,,,,,,,953.6906437949383,953.9139266593902,953.9139401294469,0.7646075426259604,954.6788167645755,954.6788299139162,1135.4222898005692,1135.4222898005692,955.5457220222916,j,1,955.5462874439509,955.5463256091107,955.5463342684334,955.5468644113726,,0.8210007219176987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,freq_top,0,18,18,22,,,,,,,,,,,,955.5473701799247,956.0617191576594,956.0617316655689,0.9032234965592958,956.9691564569521,956.9691789070457,1137.7120117946379,1137.7120117946379,959.9825466553048,None,1,959.9829305519161,959.9829703206542,959.9829879600147,959.9845479208489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,001,1,21,M,2024-02-09_11h54.07.842,eye_track_exp,2023.1.3,120.10380916094952,
