ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.started,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,text_feedback_2.started,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,9.94218498817645e-06,19.809882339057367,space,19.791765264868445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,270,180,12,180,0,12,180,0,180,j,present,resp,freq_top,0,0,0,33,,,,,,,,,,139.55021556901193,140.05201077476522,140.0750676629832,140.25853785101936,140.25855164179302,0.9018693736590201,141.1651701540759,141.16518266198545,564.363245090568,564.363245090568,142.54878004584316,j,1,1.3340501777311147,None,142.5495292375599,142.54957381703207,142.5495827970699,142.55006130479524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,1,1,37,,,,,,,,,,,,142.5505446232528,142.83956104292884,142.83957387155533,1.0805179312721682,143.9216645654451,143.92167771478853,567.1192388648342,567.1192388648342,145.0717495390527,j,1,1.105787240943755,None,145.07225017615565,145.07229154846937,145.0723002077939,145.07262829988395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,0,0,-168,0,12,0,0,0,0,None,abs,inhibit,freq_top,0,2,2,21,,,,,,,,,,,,145.0731071283226,147.60200793643162,147.60202140648835,0.8323259603794014,148.4343204853576,148.43433427613127,571.6320872141259,571.6320872141259,151.44796244548343,None,1,,,151.44835243569105,151.44839412872534,151.44840342947646,151.4492395351299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,270,0,0,168,0,0,168,180,0,f,present,resp,freq_top,0,3,3,45,,,,,,,,,,,,151.44973055076116,151.72449500918447,151.72450815852426,0.709128013472552,152.43892852756107,152.4389423183311,575.6369976911701,575.6369976911701,153.62212835232276,f,1,1.147310293825285,None,153.62263572445227,153.62267709676962,153.6226860768038,153.62313732369876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,180,90,180,12,180,12,0,0,180,j,present,resp,freq_top,0,4,4,39,,,,,,,,,,,,153.62362705646956,153.91324096937024,153.9132547601439,0.7325107347524075,154.64570928988178,154.6457227599385,577.8434686421897,577.8434686421897,155.68698539172328,j,1,1.0045982518822711,None,155.68749372599996,155.68753477760401,155.68754375764183,155.6881800574556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
90,0,180,168,180,180,0,168,0,0,f,present,resp,freq_top,0,5,5,46,,,,,,,,,,,,155.68868903316252,155.9204859354977,155.9204987641242,0.9861679440466982,156.91035966013078,156.91037248875728,580.1082084921036,580.1082084921036,157.9438189598768,f,1,0.9959748499677517,None,157.9443426885009,157.9443859851126,157.94439977588627,157.94493408812923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,0,168,0,0,0,0,0,180,168,f,abs,resp,freq_top,0,6,6,19,,,,,,,,,,,,157.94542446233027,158.23452234377692,158.23453549312035,0.8500353399566818,159.08384885698615,159.08386200632594,582.2813561268085,582.2813561268085,159.95024000754347,f,1,0.8230539612122811,None,159.95076117044664,159.95080190133012,159.95081056065465,159.95126982544025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,freq_top,0,7,7,14,,,,,,,,,,,,159.9517739904113,160.18338808483895,160.1834009134618,1.0905177656796243,161.27332733167714,161.27334048101693,584.4711729564879,584.4711729564879,162.23271735620074,f,1,0.9209068662712525,None,162.23323338765476,162.23327700497975,162.23328630573087,162.23373402475409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,8,8,47,,,,,,,,,,,,162.23422920969097,162.4975431579005,162.4975575901044,0.8101322010686798,163.31333147532132,163.31334430394782,586.5111065426972,586.5111065426972,164.24676053157964,f,1,0.8968227258847037,None,164.24726630013174,164.24730671030193,164.24731569033975,164.2477842558801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGS,001,2,24,f,2024-02-09_14h55.39.801,eye_track_exp,2023.1.3,120.11306247385781,
