ori10,ori11,ori12,ori13,ori14,ori16,ori17,ori18,ori19,ori20,corrAns,distractor,responses,dist_freq,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_2.started,intro_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_et_record_2.started,start_et_record_2.stopped,fix_check_3.started,fix_check_3.stopped,fix_practice_2.started,fixdur,fix_practice_2.stopped,practice_search_2.started,int14_2.started,per15_2.started,practice_search_2.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,feedback_4.started,text_feedback.started,feedback_4.stopped,pause_pract_2.started,pause_pract_2.stopped,text_feedback.stopped,stop_et_record_2.started,stop_et_record_2.stopped,break_3.started,break_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fix_check_2.started,fix_check_2.stopped,fixation_2.started,fixation_2.stopped,search_displays_2.started,int14.started,per15.started,search_displays_2.stopped,response.keys,response.corr,response.rt,response.duration,feedback_6.started,feedback_6.stopped,pause_4.started,pause_4.stopped,int14.stopped,int14_3.started,per15.stopped,per15_3.started,int14_3.stopped,per15_3.stopped,text_feedback_2.started,text_feedback_2.stopped,end_2.started,end_2.stopped,participant,session,group,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,1.122490675697918e-05,50.206186463019094,space,50.194944827727795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
90,0,0,12,0,12,180,180,180,0,j,present,resp,freq_top,0,0,0,32,,,,,,,,,,120.55268907072525,121.05458640067275,121.18792482263046,121.18936674207669,121.189380853388,0.9258367902197796,122.11938137294078,122.1194028606194,207.81622999641445,207.81622999641445,123.56086849989708,f,0,1.4059105353171049,None,123.56169144591553,209.2399852985793,124.06672758049382,124.06673912611217,124.06779009809287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,0,180,12,0,180,180,0,12,180,j,abs,resp,freq_top,0,1,1,3,,,,,,,,,,,,124.0683170272855,124.06903830772023,124.06904921191534,0.9870981264222705,125.05839485116735,125.05840896247867,210.75536502434522,210.75536502434522,126.6171562757171,j,1,1.5234635313087779,None,126.6179628654429,212.2957153568911,127.12243550970379,127.12244673461049,127.1229749466496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
90,0,0,12,0,180,180,180,0,12,j,present,resp,freq_top,0,2,2,36,,,,,,,,,,,,127.12351759071169,127.12453232227926,127.12454354718597,0.8620355507918753,127.98918945269281,127.98920260186924,213.6861727750471,213.6861727750471,131.0027911532341,None,0,,,131.0033171202919,216.68361926912388,131.49367107687908,131.49368198107413,131.4946755456748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,0,180,0,0,0,168,0,180,168,f,abs,resp,freq_top,0,3,3,15,,,,,,,,,,,,131.49521947258336,131.49618000388705,131.4961909080821,0.8180355488128896,132.318626032932,132.3186407856665,218.0157873502357,218.0157873502357,134.47648863109373,f,1,2.1181664657559622,None,134.47705180069954,,134.47785229690453,134.4778705774669,134.47839077171557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
12,0,0,-168,0,0,180,180,180,180,None,abs,inhibit,freq_top,0,4,4,27,,,,,,,,,,,,134.47890326888523,134.67529006762527,134.67530417893659,0.9213307948126395,135.59926377440377,135.59927724429178,221.29630482484976,221.29630482484976,138.6128500807872,None,1,,,138.61325706383377,224.2853461087738,139.1037925431982,139.10380280597008,139.1047986155521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,0,0,0,168,0,0,12,0,0,None,abs,inhibit,freq_top,0,5,5,29,,,,,,,,,,,,139.10532907257254,139.10625689129097,139.10626779548602,1.0232931794617608,140.12914992819265,140.12916403950396,225.82573556813742,225.82573556813742,143.1339310970326,None,1,,,143.13431595097734,,143.1350420420864,143.13505230485816,143.13601476043164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,0,-168,180,0,180,0,12,180,None,abs,inhibit,freq_top,0,6,6,24,,,,,,,,,,,,143.13649967640197,143.13721807043214,143.1372286539156,0.921629423806064,144.05851030735073,144.05852409795045,229.75568637738905,229.75568637738905,147.07226017666085,None,1,,,147.0728422682522,,147.07289261997664,147.07290256203692,147.07438392901247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,12,180,12,180,90,180,180,0,180,j,present,resp,freq_top,0,7,7,37,,,,,,,,,,,,147.0749230452467,147.07605483655573,147.07606638217408,1.0470877572073154,148.12168183739539,148.1216962694183,233.8188502103548,233.8188502103548,149.72100526416057,f,0,1.56187067214546,None,149.7215591331293,235.39245737582206,150.22021952069008,150.22023042488513,150.220598281114,235.89206065554737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,270,0,0,12,0,180,180,180,12,j,present,resp,freq_top,0,8,8,42,,,,,,,,,,,,150.22112905884615,150.46230066970998,150.4623154224446,0.7688072910690558,151.23559988787918,151.2356143199022,236.93284170379974,236.93284170379974,152.68590049088118,j,1,1.4085560854754249,None,152.6864553219849,,152.68723080268342,152.68724106545528,152.68785298322746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,0,0,180,168,180,0,0,168,f,abs,resp,freq_top,0,9,9,16,,,,,,,,,,,,152.68838857163382,152.92707081889864,152.92708525092155,1.0911596759748043,154.01652979763742,154.01654294681384,239.71380336400836,239.71380336400836,154.90013392917274,f,1,0.8348116554344642,None,154.9006335978777,,154.90067176256048,154.90068042177427,154.90115667853092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,180,180,168,0,0,0,0,12,None,abs,inhibit,freq_top,0,10,10,31,,,,,,,,,,,,154.90163582169203,155.06681449334303,155.06682828394264,1.0916098486936385,156.15699860105588,156.15701431592538,241.8536121429117,241.8536121429117,159.17014360824953,None,1,,,159.17052782077099,,159.17056726830026,159.17057656893735,159.17161920241585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,12,180,12,0,180,0,180,180,180,j,abs,resp,freq_top,0,11,11,5,,,,,,,,,,,,159.17210796692564,159.1729786989756,159.17298896174748,0.9295397869145585,160.10337144884045,160.10338491872847,245.80019056684495,245.80019056684495,161.30289224153694,f,0,1.1650564289575414,None,161.3033893445488,246.98253276229565,161.80925291510823,161.80926446072658,161.81050048331247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,168,180,90,0,180,0,168,0,0,f,present,resp,freq_top,0,12,12,48,,,,,,,,,,,,161.81105178658822,161.81191867009875,161.8119295742938,0.7059229529918626,162.51770905426633,162.51772220344276,248.21480302212973,248.21480302212973,163.78488107692397,f,1,1.229998928571149,None,163.78544552937626,,163.7862190858051,163.78622934857697,163.78672741372372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,270,0,0,0,0,0,168,0,168,f,present,resp,freq_top,0,13,13,43,,,,,,,,,,,,163.7872399108935,163.97555760525916,163.97557299941695,0.7781246668177335,164.75721520968443,164.75722932099575,250.45454618343553,250.45454618343553,166.19089397081393,f,1,1.3894977974211997,None,166.19140422300234,,166.19144399124332,166.1914526504571,166.19190902309322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,168,0,180,0,180,180,180,168,180,f,abs,resp,freq_top,0,14,14,12,,,,,,,,,,,,166.19239393906355,166.4235625544809,166.42357634508062,0.8086842981908793,167.23868160584163,167.23869539644124,252.93573356048267,252.93573356048267,168.3632363779343,f,1,1.0844035498972744,None,168.36373668806243,,168.36377453203363,168.36378287053583,168.36423058395815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,270,180,12,180,0,12,180,0,180,j,present,resp,freq_top,0,15,15,33,,,,,,,,,,,,168.36473410120254,168.4800485300824,168.4800709798959,1.0458782220111433,169.5286437169707,169.52865943184008,255.2254025411906,255.2254025411906,170.66208027668438,j,1,1.098431155470621,None,170.66266878250815,,170.66271272000017,170.66272266206045,170.66324638413687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
0,180,0,0,180,0,180,168,0,168,f,abs,resp,freq_top,0,16,16,14,,,,,,,,,,,,170.66374028003258,170.86100582861297,170.8610205813476,0.7083027926494637,171.568538959727,171.5685527503266,257.2653676990802,257.2653676990802,172.56027422126408,f,1,0.9461935184226604,None,172.56078992555,,172.5608284109445,172.5608370701583,172.56131011979858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
90,0,180,168,180,180,0,168,0,0,f,present,resp,freq_top,0,17,17,46,,,,,,,,,,,,172.561773868802,172.65933274023064,172.65934556869547,0.9753378306600071,173.64169167682792,173.64170546742753,259.338541583148,259.338541583148,174.7248951754068,f,1,1.0491278373241357,None,174.72540157905576,,174.72544070587344,174.72544936508723,174.72592016974625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
168,0,270,180,180,180,180,168,180,180,f,present,resp,freq_top,0,18,18,49,,,,,,,,,,,,174.72639803006098,174.72716645510388,174.72717703858734,1.0386000715610084,175.76491806138802,175.76493153127615,261.4617221059464,261.4617221059464,176.88190403923454,f,1,1.0696235548618915,None,176.88243674123646,,176.88247618876574,176.88248484797953,176.88297104679634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,180,168,0,270,0,0,168,0,180,f,present,resp,freq_top,0,19,19,47,,,,,,,,,,,,176.88344345501343,176.98982766881784,176.98984178012915,0.9191140095834542,177.9134771361479,177.9134918888824,263.6098777254876,263.6098777254876,179.26222151808201,f,1,1.3052042000438178,None,179.26272375247993,,179.26276191716272,179.2627708970881,179.26324971953773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
180,180,180,-168,180,180,12,180,0,180,None,abs,inhibit,freq_top,0,20,20,22,,,,,,,,,,,,179.2637314283918,179.45333742133744,179.45335217407205,0.9041771330919051,180.36089903164338,180.36091186010822,266.05776625639095,266.05776625639095,183.37431664371445,None,1,,,183.3752653086882,,183.37532111251016,183.37533073385873,183.37594714159354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ds,001,1,29,m,2024-02-06_13h32.24.549,eye_track_exp,2023.1.3,120.15807504518719,
